Method,Average Execution Time,Total Execution Time,Average Memory Usage,Total Memory Usage
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_INV,11.335346010368085,90.68276808294468,361.05859375,2888.46875
deepactif_input_PEN,9.489900109459995,75.91920087567996,359.123046875,2872.984375
deepactif_lstm_MEAN,9.548900682246312,76.3912054579705,358.4453125,2867.5625
deepactif_lstm_MEANSTD,9.372809447508189,74.98247558006551,357.45703125,2859.65625
deepactif_lstm_INV,9.444457098972634,75.55565679178108,358.689453125,2869.515625
deepactif_lstm_PEN,10.256521437491756,82.05217149993405,355.783203125,2846.265625
deepactif_penultimate_MEAN,9.979851260373835,79.83881008299068,361.67578125,2893.40625
deepactif_penultimate_MEANSTD,9.509328661602922,76.07462929282337,362.224609375,2897.796875
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_INV,11.335346010368085,90.68276808294468,361.05859375,2888.46875
deepactif_input_PEN,9.489900109459995,75.91920087567996,359.123046875,2872.984375
deepactif_lstm_MEAN,9.548900682246312,76.3912054579705,358.4453125,2867.5625
deepactif_lstm_MEANSTD,9.372809447508189,74.98247558006551,357.45703125,2859.65625
deepactif_lstm_INV,9.444457098972634,75.55565679178108,358.689453125,2869.515625
deepactif_lstm_PEN,10.256521437491756,82.05217149993405,355.783203125,2846.265625
deepactif_penultimate_MEAN,9.979851260373835,79.83881008299068,361.67578125,2893.40625
deepactif_penultimate_MEANSTD,9.509328661602922,76.07462929282337,362.224609375,2897.796875
deepactif_penultimate_INV,9.74169192701811,77.93353541614488,362.107421875,2896.859375
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_INV,11.335346010368085,90.68276808294468,361.05859375,2888.46875
deepactif_input_PEN,9.489900109459995,75.91920087567996,359.123046875,2872.984375
deepactif_lstm_MEAN,9.548900682246312,76.3912054579705,358.4453125,2867.5625
deepactif_lstm_MEANSTD,9.372809447508189,74.98247558006551,357.45703125,2859.65625
deepactif_lstm_INV,9.444457098972634,75.55565679178108,358.689453125,2869.515625
deepactif_lstm_PEN,10.256521437491756,82.05217149993405,355.783203125,2846.265625
deepactif_penultimate_MEAN,9.979851260373835,79.83881008299068,361.67578125,2893.40625
deepactif_penultimate_MEANSTD,9.509328661602922,76.07462929282337,362.224609375,2897.796875
deepactif_penultimate_INV,9.74169192701811,77.93353541614488,362.107421875,2896.859375
deepactif_penultimate_PEN,10.116678463615244,80.93342770892195,359.255859375,2874.046875
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_INV,11.594460911510396,92.75568729208317,355.58203125,2844.65625
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_INV,11.594460911510396,92.75568729208317,355.58203125,2844.65625
deepactif_input_PEN,14.39845407824032,115.18763262592256,353.177734375,2825.421875
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_INV,11.594460911510396,92.75568729208317,355.58203125,2844.65625
deepactif_input_PEN,14.39845407824032,115.18763262592256,353.177734375,2825.421875
deepactif_lstm_MEAN,11.738679307120037,93.9094344569603,356.431640625,2851.453125
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_INV,11.594460911510396,92.75568729208317,355.58203125,2844.65625
deepactif_input_PEN,14.39845407824032,115.18763262592256,353.177734375,2825.421875
deepactif_lstm_MEAN,11.738679307120037,93.9094344569603,356.431640625,2851.453125
deepactif_lstm_MEANSTD,10.891829869608046,87.13463895686436,355.912109375,2847.296875
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_INV,11.594460911510396,92.75568729208317,355.58203125,2844.65625
deepactif_input_PEN,14.39845407824032,115.18763262592256,353.177734375,2825.421875
deepactif_lstm_MEAN,11.738679307120037,93.9094344569603,356.431640625,2851.453125
deepactif_lstm_MEANSTD,10.891829869608046,87.13463895686436,355.912109375,2847.296875
deepactif_lstm_INV,13.19132511949283,105.53060095594265,355.904296875,2847.234375
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_INV,11.594460911510396,92.75568729208317,355.58203125,2844.65625
deepactif_input_PEN,14.39845407824032,115.18763262592256,353.177734375,2825.421875
deepactif_lstm_MEAN,11.738679307120037,93.9094344569603,356.431640625,2851.453125
deepactif_lstm_MEANSTD,10.891829869608046,87.13463895686436,355.912109375,2847.296875
deepactif_lstm_INV,13.19132511949283,105.53060095594265,355.904296875,2847.234375
deepactif_lstm_PEN,11.270983494614484,90.16786795691587,356.08984375,2848.71875
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_INV,11.594460911510396,92.75568729208317,355.58203125,2844.65625
deepactif_input_PEN,14.39845407824032,115.18763262592256,353.177734375,2825.421875
deepactif_lstm_MEAN,11.738679307120037,93.9094344569603,356.431640625,2851.453125
deepactif_lstm_MEANSTD,10.891829869608046,87.13463895686436,355.912109375,2847.296875
deepactif_lstm_INV,13.19132511949283,105.53060095594265,355.904296875,2847.234375
deepactif_lstm_PEN,11.270983494614484,90.16786795691587,356.08984375,2848.71875
deepactif_penultimate_MEAN,9.939571056864224,79.5165684549138,359.287109375,2874.296875
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_INV,11.594460911510396,92.75568729208317,355.58203125,2844.65625
deepactif_input_PEN,14.39845407824032,115.18763262592256,353.177734375,2825.421875
deepactif_lstm_MEAN,11.738679307120037,93.9094344569603,356.431640625,2851.453125
deepactif_lstm_MEANSTD,10.891829869608046,87.13463895686436,355.912109375,2847.296875
deepactif_lstm_INV,13.19132511949283,105.53060095594265,355.904296875,2847.234375
deepactif_lstm_PEN,11.270983494614484,90.16786795691587,356.08984375,2848.71875
deepactif_penultimate_MEAN,9.939571056864224,79.5165684549138,359.287109375,2874.296875
deepactif_penultimate_MEANSTD,9.965702343775774,79.7256187502062,360.806640625,2886.453125
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_INV,11.594460911510396,92.75568729208317,355.58203125,2844.65625
deepactif_input_PEN,14.39845407824032,115.18763262592256,353.177734375,2825.421875
deepactif_lstm_MEAN,11.738679307120037,93.9094344569603,356.431640625,2851.453125
deepactif_lstm_MEANSTD,10.891829869608046,87.13463895686436,355.912109375,2847.296875
deepactif_lstm_INV,13.19132511949283,105.53060095594265,355.904296875,2847.234375
deepactif_lstm_PEN,11.270983494614484,90.16786795691587,356.08984375,2848.71875
deepactif_penultimate_MEAN,9.939571056864224,79.5165684549138,359.287109375,2874.296875
deepactif_penultimate_MEANSTD,9.965702343775774,79.7256187502062,360.806640625,2886.453125
deepactif_penultimate_INV,11.270742301872815,90.16593841498252,357.71484375,2861.71875
deepactif_input_MEAN,12.169945546615054,97.35956437292043,361.474609375,2891.796875
deepactif_input_MEANSTD,11.37489443263621,90.99915546108969,366.00390625,2928.03125
deepactif_input_INV,11.594460911510396,92.75568729208317,355.58203125,2844.65625
deepactif_input_PEN,14.39845407824032,115.18763262592256,353.177734375,2825.421875
deepactif_lstm_MEAN,11.738679307120037,93.9094344569603,356.431640625,2851.453125
deepactif_lstm_MEANSTD,10.891829869608046,87.13463895686436,355.912109375,2847.296875
deepactif_lstm_INV,13.19132511949283,105.53060095594265,355.904296875,2847.234375
deepactif_lstm_PEN,11.270983494614484,90.16786795691587,356.08984375,2848.71875
deepactif_penultimate_MEAN,9.939571056864224,79.5165684549138,359.287109375,2874.296875
deepactif_penultimate_MEANSTD,9.965702343775774,79.7256187502062,360.806640625,2886.453125
deepactif_penultimate_INV,11.270742301872815,90.16593841498252,357.71484375,2861.71875
deepactif_penultimate_PEN,10.765745041615446,86.12596033292357,361.91796875,2895.34375
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_INV,22.527986312372377,180.22389049897902,375.953125,3007.625
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_INV,22.527986312372377,180.22389049897902,375.953125,3007.625
deeplift_zero_PEN,24.712975484406343,197.70380387525074,377.31640625,3018.53125
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_INV,22.527986312372377,180.22389049897902,375.953125,3007.625
deeplift_zero_PEN,24.712975484406343,197.70380387525074,377.31640625,3018.53125
deeplift_random_MEAN,23.200614874847815,185.60491899878252,375.404296875,3003.234375
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_INV,22.527986312372377,180.22389049897902,375.953125,3007.625
deeplift_zero_PEN,24.712975484406343,197.70380387525074,377.31640625,3018.53125
deeplift_random_MEAN,23.200614874847815,185.60491899878252,375.404296875,3003.234375
deeplift_random_MEANSTD,24.037090077981702,192.29672062385362,372.86328125,2982.90625
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_INV,22.527986312372377,180.22389049897902,375.953125,3007.625
deeplift_zero_PEN,24.712975484406343,197.70380387525074,377.31640625,3018.53125
deeplift_random_MEAN,23.200614874847815,185.60491899878252,375.404296875,3003.234375
deeplift_random_MEANSTD,24.037090077981702,192.29672062385362,372.86328125,2982.90625
deeplift_random_INV,24.253571692606783,194.02857354085427,374.365234375,2994.921875
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_INV,22.527986312372377,180.22389049897902,375.953125,3007.625
deeplift_zero_PEN,24.712975484406343,197.70380387525074,377.31640625,3018.53125
deeplift_random_MEAN,23.200614874847815,185.60491899878252,375.404296875,3003.234375
deeplift_random_MEANSTD,24.037090077981702,192.29672062385362,372.86328125,2982.90625
deeplift_random_INV,24.253571692606783,194.02857354085427,374.365234375,2994.921875
deeplift_random_PEN,23.528033979266183,188.22427183412947,374.8515625,2998.8125
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_INV,22.527986312372377,180.22389049897902,375.953125,3007.625
deeplift_zero_PEN,24.712975484406343,197.70380387525074,377.31640625,3018.53125
deeplift_random_MEAN,23.200614874847815,185.60491899878252,375.404296875,3003.234375
deeplift_random_MEANSTD,24.037090077981702,192.29672062385362,372.86328125,2982.90625
deeplift_random_INV,24.253571692606783,194.02857354085427,374.365234375,2994.921875
deeplift_random_PEN,23.528033979266183,188.22427183412947,374.8515625,2998.8125
deeplift_mean_MEAN,24.88351391121978,199.06811128975824,379.697265625,3037.578125
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_INV,22.527986312372377,180.22389049897902,375.953125,3007.625
deeplift_zero_PEN,24.712975484406343,197.70380387525074,377.31640625,3018.53125
deeplift_random_MEAN,23.200614874847815,185.60491899878252,375.404296875,3003.234375
deeplift_random_MEANSTD,24.037090077981702,192.29672062385362,372.86328125,2982.90625
deeplift_random_INV,24.253571692606783,194.02857354085427,374.365234375,2994.921875
deeplift_random_PEN,23.528033979266183,188.22427183412947,374.8515625,2998.8125
deeplift_mean_MEAN,24.88351391121978,199.06811128975824,379.697265625,3037.578125
deeplift_mean_MEANSTD,26.301803942900733,210.41443154320586,377.755859375,3022.046875
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_INV,22.527986312372377,180.22389049897902,375.953125,3007.625
deeplift_zero_PEN,24.712975484406343,197.70380387525074,377.31640625,3018.53125
deeplift_random_MEAN,23.200614874847815,185.60491899878252,375.404296875,3003.234375
deeplift_random_MEANSTD,24.037090077981702,192.29672062385362,372.86328125,2982.90625
deeplift_random_INV,24.253571692606783,194.02857354085427,374.365234375,2994.921875
deeplift_random_PEN,23.528033979266183,188.22427183412947,374.8515625,2998.8125
deeplift_mean_MEAN,24.88351391121978,199.06811128975824,379.697265625,3037.578125
deeplift_mean_MEANSTD,26.301803942900733,210.41443154320586,377.755859375,3022.046875
deeplift_mean_INV,24.99756114061165,199.9804891248932,376.5703125,3012.5625
deeplift_zero_MEAN,22.770131958372076,182.1610556669766,384.693359375,3077.546875
deeplift_zero_MEANSTD,22.478567807382206,179.82854245905764,375.66796875,3005.34375
deeplift_zero_INV,22.527986312372377,180.22389049897902,375.953125,3007.625
deeplift_zero_PEN,24.712975484406343,197.70380387525074,377.31640625,3018.53125
deeplift_random_MEAN,23.200614874847815,185.60491899878252,375.404296875,3003.234375
deeplift_random_MEANSTD,24.037090077981702,192.29672062385362,372.86328125,2982.90625
deeplift_random_INV,24.253571692606783,194.02857354085427,374.365234375,2994.921875
deeplift_random_PEN,23.528033979266183,188.22427183412947,374.8515625,2998.8125
deeplift_mean_MEAN,24.88351391121978,199.06811128975824,379.697265625,3037.578125
deeplift_mean_MEANSTD,26.301803942900733,210.41443154320586,377.755859375,3022.046875
deeplift_mean_INV,24.99756114061165,199.9804891248932,376.5703125,3012.5625
deeplift_mean_PEN,25.419454119895818,203.35563295916654,374.724609375,2997.796875
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_INV,8.980114911250041,71.84091929000033,419.53515625,3356.28125
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_INV,8.980114911250041,71.84091929000033,419.53515625,3356.28125
deeplift_zero_PEN,9.853908297000004,78.83126637600003,408.306640625,3266.453125
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_INV,8.980114911250041,71.84091929000033,419.53515625,3356.28125
deeplift_zero_PEN,9.853908297000004,78.83126637600003,408.306640625,3266.453125
deeplift_random_MEAN,9.550732333124984,76.40585866499987,409.6484375,3277.1875
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_INV,8.980114911250041,71.84091929000033,419.53515625,3356.28125
deeplift_zero_PEN,9.853908297000004,78.83126637600003,408.306640625,3266.453125
deeplift_random_MEAN,9.550732333124984,76.40585866499987,409.6484375,3277.1875
deeplift_random_MEANSTD,8.854846708249966,70.83877366599972,416.8046875,3334.4375
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_INV,8.980114911250041,71.84091929000033,419.53515625,3356.28125
deeplift_zero_PEN,9.853908297000004,78.83126637600003,408.306640625,3266.453125
deeplift_random_MEAN,9.550732333124984,76.40585866499987,409.6484375,3277.1875
deeplift_random_MEANSTD,8.854846708249966,70.83877366599972,416.8046875,3334.4375
deeplift_random_INV,8.552515906124938,68.4201272489995,435.484375,3483.875
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_INV,8.980114911250041,71.84091929000033,419.53515625,3356.28125
deeplift_zero_PEN,9.853908297000004,78.83126637600003,408.306640625,3266.453125
deeplift_random_MEAN,9.550732333124984,76.40585866499987,409.6484375,3277.1875
deeplift_random_MEANSTD,8.854846708249966,70.83877366599972,416.8046875,3334.4375
deeplift_random_INV,8.552515906124938,68.4201272489995,435.484375,3483.875
deeplift_random_PEN,8.832336020874976,70.65868816699981,442.78125,3542.25
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_INV,8.980114911250041,71.84091929000033,419.53515625,3356.28125
deeplift_zero_PEN,9.853908297000004,78.83126637600003,408.306640625,3266.453125
deeplift_random_MEAN,9.550732333124984,76.40585866499987,409.6484375,3277.1875
deeplift_random_MEANSTD,8.854846708249966,70.83877366599972,416.8046875,3334.4375
deeplift_random_INV,8.552515906124938,68.4201272489995,435.484375,3483.875
deeplift_random_PEN,8.832336020874976,70.65868816699981,442.78125,3542.25
deeplift_mean_MEAN,9.887795593749985,79.10236474999988,405.7734375,3246.1875
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_INV,8.980114911250041,71.84091929000033,419.53515625,3356.28125
deeplift_zero_PEN,9.853908297000004,78.83126637600003,408.306640625,3266.453125
deeplift_random_MEAN,9.550732333124984,76.40585866499987,409.6484375,3277.1875
deeplift_random_MEANSTD,8.854846708249966,70.83877366599972,416.8046875,3334.4375
deeplift_random_INV,8.552515906124938,68.4201272489995,435.484375,3483.875
deeplift_random_PEN,8.832336020874976,70.65868816699981,442.78125,3542.25
deeplift_mean_MEAN,9.887795593749985,79.10236474999988,405.7734375,3246.1875
deeplift_mean_MEANSTD,9.202293385249988,73.6183470819999,420.7109375,3365.6875
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_INV,8.980114911250041,71.84091929000033,419.53515625,3356.28125
deeplift_zero_PEN,9.853908297000004,78.83126637600003,408.306640625,3266.453125
deeplift_random_MEAN,9.550732333124984,76.40585866499987,409.6484375,3277.1875
deeplift_random_MEANSTD,8.854846708249966,70.83877366599972,416.8046875,3334.4375
deeplift_random_INV,8.552515906124938,68.4201272489995,435.484375,3483.875
deeplift_random_PEN,8.832336020874976,70.65868816699981,442.78125,3542.25
deeplift_mean_MEAN,9.887795593749985,79.10236474999988,405.7734375,3246.1875
deeplift_mean_MEANSTD,9.202293385249988,73.6183470819999,420.7109375,3365.6875
deeplift_mean_INV,8.407327849124982,67.25862279299986,448.4140625,3587.3125
deeplift_zero_MEAN,9.982529744750025,79.8602379580002,402.26953125,3218.15625
deeplift_zero_MEANSTD,8.82223710949998,70.57789687599984,417.841796875,3342.734375
deeplift_zero_INV,8.980114911250041,71.84091929000033,419.53515625,3356.28125
deeplift_zero_PEN,9.853908297000004,78.83126637600003,408.306640625,3266.453125
deeplift_random_MEAN,9.550732333124984,76.40585866499987,409.6484375,3277.1875
deeplift_random_MEANSTD,8.854846708249966,70.83877366599972,416.8046875,3334.4375
deeplift_random_INV,8.552515906124938,68.4201272489995,435.484375,3483.875
deeplift_random_PEN,8.832336020874976,70.65868816699981,442.78125,3542.25
deeplift_mean_MEAN,9.887795593749985,79.10236474999988,405.7734375,3246.1875
deeplift_mean_MEANSTD,9.202293385249988,73.6183470819999,420.7109375,3365.6875
deeplift_mean_INV,8.407327849124982,67.25862279299986,448.4140625,3587.3125
deeplift_mean_PEN,8.847961036499953,70.78368829199962,444.091796875,3552.734375
shap_mem_MEAN,49.377179801997954,395.01743841598363,631.240234375,5049.921875
shap_mem_MEAN,49.377179801997954,395.01743841598363,631.240234375,5049.921875
shap_mem_MEANSTD,53.927717864501574,431.4217429160126,630.466796875,5043.734375
shap_mem_MEAN,49.377179801997954,395.01743841598363,631.240234375,5049.921875
shap_mem_MEANSTD,53.927717864501574,431.4217429160126,630.466796875,5043.734375
shap_mem_INV,55.113010354000835,440.9040828320067,552.814453125,4422.515625
shap_mem_MEAN,49.377179801997954,395.01743841598363,631.240234375,5049.921875
shap_mem_MEANSTD,53.927717864501574,431.4217429160126,630.466796875,5043.734375
shap_mem_INV,55.113010354000835,440.9040828320067,552.814453125,4422.515625
shap_mem_PEN,54.14726458862333,433.17811670898664,557.498046875,4459.984375
shap_mem_MEAN,49.377179801997954,395.01743841598363,631.240234375,5049.921875
shap_mem_MEANSTD,53.927717864501574,431.4217429160126,630.466796875,5043.734375
shap_mem_INV,55.113010354000835,440.9040828320067,552.814453125,4422.515625
shap_mem_PEN,54.14726458862333,433.17811670898664,557.498046875,4459.984375
shap_time_MEAN,55.77078935937516,446.16631487500126,550.6875,4405.5
shap_mem_MEAN,49.377179801997954,395.01743841598363,631.240234375,5049.921875
shap_mem_MEANSTD,53.927717864501574,431.4217429160126,630.466796875,5043.734375
shap_mem_INV,55.113010354000835,440.9040828320067,552.814453125,4422.515625
shap_mem_PEN,54.14726458862333,433.17811670898664,557.498046875,4459.984375
shap_time_MEAN,55.77078935937516,446.16631487500126,550.6875,4405.5
shap_time_MEANSTD,55.153350958375086,441.2268076670007,551.859375,4414.875
shap_mem_MEAN,49.377179801997954,395.01743841598363,631.240234375,5049.921875
shap_mem_MEANSTD,53.927717864501574,431.4217429160126,630.466796875,5043.734375
shap_mem_INV,55.113010354000835,440.9040828320067,552.814453125,4422.515625
shap_mem_PEN,54.14726458862333,433.17811670898664,557.498046875,4459.984375
shap_time_MEAN,55.77078935937516,446.16631487500126,550.6875,4405.5
shap_time_MEANSTD,55.153350958375086,441.2268076670007,551.859375,4414.875
shap_time_INV,56.01123971874949,448.08991774999595,550.677734375,4405.421875
shap_mem_MEAN,49.377179801997954,395.01743841598363,631.240234375,5049.921875
shap_mem_MEANSTD,53.927717864501574,431.4217429160126,630.466796875,5043.734375
shap_mem_INV,55.113010354000835,440.9040828320067,552.814453125,4422.515625
shap_mem_PEN,54.14726458862333,433.17811670898664,557.498046875,4459.984375
